event_dt,campaign_id,channel,contact_id,persona,subject,opened,clicked,unsubscribed
2025-08-02,CMP-01,email,1131,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,43,Busy Buyer,Unlock your exclusive savings today,1,0,0
2025-08-02,CMP-01,email,998,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,385,Loyal Advocate,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,696,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,887,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,1056,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,291,Value Seeker,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,1036,Value Seeker,Because you’re into smarter decisions,1,0,0
2025-08-02,CMP-01,email,788,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,338,Value Seeker,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,111,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,164,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,537,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,557,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,46,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,569,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,191,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,955,Value Seeker,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,386,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,538,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,531,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,1198,Loyal Advocate,A quick tip for Loyal Advocate,1,0,0
2025-08-02,CMP-01,email,449,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,978,Loyal Advocate,Because you’re into smarter decisions,1,0,0
2025-08-02,CMP-01,email,1123,Value Seeker,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,10,Busy Buyer,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,102,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,894,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,188,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,627,Value Seeker,Because you’re into faster onboarding,1,1,0
2025-08-02,CMP-01,email,751,Value Seeker,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,1163,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,835,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,126,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,724,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,230,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,1120,Value Seeker,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,223,Value Seeker,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,21,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,48,Loyal Advocate,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,154,Skeptical Researcher,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,224,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,1012,Loyal Advocate,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,489,Loyal Advocate,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,1090,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,476,Busy Buyer,Because you’re into time-saving workflows,0,0,0
2025-08-02,CMP-01,email,471,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,907,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,774,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,187,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,53,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,699,Busy Buyer,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,960,Skeptical Researcher,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,1046,Loyal Advocate,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,938,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,1095,Value Seeker,A quick tip for Value Seeker,0,0,1
2025-08-02,CMP-01,email,64,Busy Buyer,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,349,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,495,Skeptical Researcher,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,203,Skeptical Researcher,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,571,Value Seeker,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,607,Busy Buyer,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,97,Busy Buyer,Because you’re into time-saving workflows,0,0,0
2025-08-02,CMP-01,email,1065,Busy Buyer,Because you’re into time-saving workflows,1,0,0
2025-08-02,CMP-01,email,802,Loyal Advocate,Smarter smarter decisions starts here,0,0,0
2025-08-02,CMP-01,email,899,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,29,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,3,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,933,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,260,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,1160,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,968,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,125,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,1158,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,578,Value Seeker,Because you’re into smarter decisions,1,0,0
2025-08-02,CMP-01,email,1172,Skeptical Researcher,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,675,Skeptical Researcher,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,739,Skeptical Researcher,Because you’re into exclusive savings,0,0,0
2025-08-02,CMP-01,email,883,Busy Buyer,We picked these just for you,0,0,0
